tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	poster_path	
tt0091251	movie	Come and See	Idi i smotri	0	1985	\N	142	Drama,Thriller,War	http://image.tmdb.org/t/p/original/qNbMsKVzigERgJUbwf8pKyZogpb.jpg	
tt0090605	movie	Aliens	Aliens	0	1986	\N	137	Action,Adventure,Sci-Fi	http://image.tmdb.org/t/p/original/r1x5JGpyqZU8PYhbs4UcrO1Xb6x.jpg	
tt0086879	movie	Amadeus	Amadeus	0	1984	\N	160	Biography,Drama,Music	http://image.tmdb.org/t/p/original/1n5VUlCqgmVax1adxGZm8oCFaKc.jpg	
tt0082971	movie	Indiana Jones and the Raiders of the Lost Ark	Raiders of the Lost Ark	0	1981	\N	115	Action,Adventure	http://image.tmdb.org/t/p/original/ceG9VzoRAVGwivFU403Wc3AHRys.jpg	
tt0082096	movie	The Boat	Das Boot	0	1981	\N	149	Drama,War	http://image.tmdb.org/t/p/original/fSI5yoee0mBxwNyCvf8m3B5tFMu.jpg	
tt0081505	movie	The Shining	The Shining	0	1980	\N	146	Drama,Horror	http://image.tmdb.org/t/p/original/xazWoLealQwEgqZ89MLZklLZD3k.jpg	
tt0057565	movie	High and Low	Tengoku to jigoku	0	1963	\N	143	Crime,Drama,Mystery	http://image.tmdb.org/t/p/original/lXPTTh4fQ728mnslH7s2IFrwfIW.jpg	
tt0057012	movie	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	0	1964	\N	95	Comedy,War	http://image.tmdb.org/t/p/original/7SixLzxcqezkZEYU8pcHZgbkmjp.jpg	
tt0051201	movie	Witness for the Prosecution	Witness for the Prosecution	0	1957	\N	116	Crime,Drama,Mystery	http://image.tmdb.org/t/p/original/mM5Cad2ESBprh6ucPnMzMfI34Cu.jpg	
tt0050825	movie	Paths of Glory	Paths of Glory	0	1957	\N	88	Drama,War	http://image.tmdb.org/t/p/original/l2IY0gOHHmCWM90LjteFssxIV1G.jpg	
tt0043014	movie	Sunset Blvd.	Sunset Blvd.	0	1950	\N	110	Drama,Film-Noir	http://image.tmdb.org/t/p/original/i355u6490I0vsNrvORwfp0qvoqw.jpg	
tt0032553	movie	The Great Dictator	The Great Dictator	0	1940	\N	125	Comedy,Drama,War	http://image.tmdb.org/t/p/original/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg	
tt2106476	movie	The Hunt	Jagten	0	2012	\N	115	Drama	http://image.tmdb.org/t/p/original/jkixsXzRh28q3PCqFoWcf7unghT.jpg	
tt0435761	movie	Toy Story 3	Toy Story 3	0	2010	\N	103	Adventure,Animation,Comedy	http://image.tmdb.org/t/p/original/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg	
tt0361748	movie	Inglourious Basterds	Inglourious Basterds	0	2009	\N	153	Adventure,Drama,War	http://image.tmdb.org/t/p/original/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg	
